student_id,BigBlueButtonBN,Fail,Faili esitamine,Foorum,Hindajaraport,Kaust,Kommentaarid tööle,Küsitlus,Leht,Logid,Minu hinderaport,Onlain teksti esitamine,Osalemine,Prügikast,Rühma valimine,Süsteem,Tagasiside,Tegevuste aruanne,Test,Tund,URL,Virtual programming lab,Õppijaraport,Ülesanne,Ülevaate aruanne,label,web,y
53,0.0,0.125,0.25,0.9375,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.25,0.0,0.0,0.0,7.1875,0.125,0.0,5.9375,0.4375,1.125,3.875,0.3125,5.6875,0.0625,2,1,95.0
54,0.0,0.375,0.375,0.5,0.0,0.1875,0.0,0.4375,4.75,0.0,0.0,0.125,0.0,0.0,0.3125,22.75,0.625,0.0,46.625,0.0625,4.1875,16.5625,4.0,1.75,0.0625,2,1,82.2
55,1.25,0.25,0.75,1.125,0.0,0.125,0.0,0.375,2.75,0.0,0.0,0.375,0.75,0.0,0.4375,28.4375,0.8125,0.0,68.875,0.4375,4.0625,19.125,1.4375,5.4375,0.0,2,0,97.71
56,0.5625,0.5,0.5,1.25,0.0,0.0625,0.0,0.375,0.875,0.0,0.0,0.25,0.8125,0.0,0.3125,26.75,0.25,0.0,107.75,0.375,4.125,21.75,0.6875,4.0625,0.0,2,0,89.0
57,0.9375,0.4375,0.5,0.125,0.0,0.125,0.0,1.0625,0.5625,0.0,0.0,0.0,0.75,0.0,0.3125,26.0625,0.0625,0.0,61.0,0.375,3.0,23.6875,0.0625,3.25,0.0,2,0,70.12
58,1.75,0.625,0.75,2.625,0.0,0.3125,0.0,0.375,1.4375,0.0,0.0,0.5,0.5,0.0,0.3125,45.75,0.375,0.0,72.5,1.1875,5.4375,29.25,0.0,4.6875,0.0,2,0,90.35
59,0.5625,0.0625,0.625,0.25,0.0,0.125,0.0,0.375,0.875,0.0,0.0,0.375,0.25,0.0,0.5625,14.3125,0.4375,0.0,26.0625,0.0,2.1875,12.625,0.8125,5.125,0.0,2,0,87.39
60,0.8125,0.5625,0.375,1.9375,0.0,0.25,0.0,0.375,2.25,0.0,0.0,0.125,0.4375,0.0,0.625,35.3125,0.25,0.0,36.0625,3.625,5.4375,30.5625,1.125,5.0,0.0625,2,0,107.8
61,0.5625,0.1875,0.5,0.75,0.0,0.0625,0.0,0.375,1.0625,0.0,0.0,0.25,0.75,0.0,0.4375,31.75,0.1875,0.0,75.0625,0.5,7.8125,25.25,1.6875,3.5625,0.0,2,0,101.3
62,1.125,0.3125,0.625,0.8125,0.0,0.375,0.0,0.5,0.5625,0.0,0.0,0.375,0.6875,0.0,0.3125,26.3125,0.5,0.0,57.5625,0.1875,1.875,16.9375,0.5625,4.5625,0.0,2,0,71.35
